teacherextuserid,classtitle,classcode,category,pe_category,category_type,assignment_count,assignment_category,cursor,classType
tch_H2_20240128-220541_91,class_H2_20240128-220541_91,voTh-fb24,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_L2_20250921-155445_15,ltiClass_class_L2_20250921-155445_15,ZNrt-ZJ7w,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L1_20240128-220541_9,class_L1_20240128-220541_9,zC3N-2E2K,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240128-220541_15,class_L1_20240128-220541_15,B7vY-xT87,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L2_20250921-205619_4,ltiClass_class_L2_20250921-205619_4,3CFp-W8V8,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240124-195937_54,class_L8_20240124-195937_54,t2Xe-DmYp,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M2_20240128-170457_72,class_M2_20240128-170457_72,xHuq-RbBC,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_H1_20231229-151113_75,class_H1_20231229-151113_75,e8LP-2dVz,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_M2_20240128-142311_72,class_M2_20240128-142311_72,JzeA-x4Hf,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_M4_20240128-220541_79,class_M4_20240128-220541_79,mDg3-2XTZ,M4,m4pe,M,25,A_Med,No_Cursor,normal
tch_L2_20250923-102342_10,ltiClass_class_L2_20250923-102342_10,47Qb-uhMD,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H4_20241108-123139_98,class_H4_20241108-123139_98,Hehb-2C9r,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_H1_20240128-130831_86,class_H1_20240128-130831_86,dHz3-G6Rz,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_L1_20240128-180332_7,class_L1_20240128-180332_7,Y86d-JDFm,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M3_20250921-205619_17,ltiClass_class_M3_20250921-205619_17,zpkq-x6ui,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L8_20240124-195937_52,class_L8_20240124-195937_52,VD49-nt2m,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H4_20240222-143108_97,class_H4_20240222-143108_97,4W6L-tVA6,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L7_20240128-205614_37,class_L7_20240128-205614_37,XHrU-62D6,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L8_20240128-220541_52,class_L8_20240128-220541_52,B8cu-fCtN,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240128-142311_15,class_L1_20240128-142311_15,nUcq-RLJD,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M2_20240128-180332_73,class_M2_20240128-180332_73,yj7A-NjaM,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_L1_20240130-090904_10,class_L1_20240130-090904_10,34tT-ji2y,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240128-180332_11,class_L1_20240128-180332_11,tawp-vDxt,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M3_20250921-214456_18,ltiClass_class_M3_20250921-214456_18,3nGw-2898,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_M5_20240128-142311_84,class_M5_20240128-142311_84,6xfW-9G4x,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_M1_20240128-205614_69,class_M1_20240128-205614_69,4H7y-Cv7j,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_H7_20250922-182234_6,ltiClass_class_H7_20250922-182234_6,jMrf-cDw8,H7,h7pe,H,150,A_High,High_Cursor,LTI
tch_H2_20240128-130831_91,class_H2_20240128-130831_91,x4fw-4jgX,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_L1_20231229-183345_5,class_L1_20231229-183345_5,Nq4U-Hh7K,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L8_20240130-090904_58,class_L8_20240130-090904_58,G2A4-LeHe,L8,l8pe,L,8,A_Low,No_Cursor,normal
tch_M3_20250921-192554_18,ltiClass_class_M3_20250921-192554_18,sKUd-J9EL,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L8_20240118-160029_91,class_L8_20240118-160029_91,4bnZ-ck7B,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H6_20240128-190832_100,class_H6_20240128-190832_100,Gr97-UiXj,H6,h6pe,H,100,A_High,No_Cursor,normal
tch_M1_20240128-190832_69,class_M1_20240128-190832_69,JWnd-TbGE,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L1_20240222-172411_109,class_L1_20240222-172411_109,kMrV-yE3c,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240222-143108_106,class_L1_20240222-143108_106,4Z87-6YyE,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L3_20240222-172411_31,class_L3_20240222-172411_31,Dbeo-aBbX,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250921-155445_20,ltiClass_class_L2_20250921-155445_20,8qKk-9EbR,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M3_20250921-214456_20,ltiClass_class_M3_20250921-214456_20,PLbK-CBZ9,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L9_20240128-220541_64,class_L9_20240128-220541_64,7KNm-s62z,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_H1_20240222-110512_186,class_H1_20240222-110512_186,iZNu-3W3k,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_M1_20240222-143108_170,class_M1_20240222-143108_170,87iQ-7C3F,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L1_20240222-143108_103,class_L1_20240222-143108_103,3tmR-ZMfQ,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L2_20250921-155445_9,ltiClass_class_L2_20250921-155445_9,t69r-DQxd,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240118-160029_58,class_L8_20240118-160029_58,Papq-nZ37,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H1_20240222-110512_87,class_H1_20240222-110512_87,Tpx3-ibc9,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_L8_20240118-160029_85,class_L8_20240118-160029_85,BV2u-x9vg,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L9_20240222-110512_165,class_L9_20240222-110512_165,aQvC-3F2p,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L9_20240222-110512_68,class_L9_20240222-110512_68,fok9-3t4T,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_M3_20250921-192554_19,ltiClass_class_M3_20250921-192554_19,Dz8U-2YC8,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L3_20240102-192514_29,class_L3_20240102-192514_29,6og3-vBFr,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250921-155445_11,ltiClass_class_L2_20250921-155445_11,7Tpj-sksu,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240222-110512_58,class_L8_20240222-110512_58,r9Qc-YBTs,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H1_20240128-195807_88,class_H1_20240128-195807_88,Ch3N-Tbj8,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_H3_20240128-220541_92,class_H3_20240128-220541_92,Nj8Y-287e,H3,h3pe,H,26,A_High,No_Cursor,normal
tch_L9_20240117-181958_71,class_L9_20240117-181958_71,cJV2-9Gp8,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L8_20240222-143108_153,class_L8_20240222-143108_153,YH47-BotG,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250921-214456_6,ltiClass_class_L2_20250921-214456_6,Xuj7-y4WY,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H5_20250922-213421_1,ltiClass_class_H5_20250922-213421_1,xFY7-TH7d,H5,h5pe,H,150,A_High,High_Cursor,LTI
tch_L9_20240128-130831_63,class_L9_20240128-130831_63,g9dH-839G,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L2_20250923-102342_17,ltiClass_class_L2_20250923-102342_17,mLF2-m7p7,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H4_20240128-180332_97,class_H4_20240128-180332_97,6aU8-D3AY,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L7_20240119-093415_106,class_L7_20240119-093415_106,8pzF-p4Yf,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H4_20240128-205614_97,class_H4_20240128-205614_97,DJA4-8H4C,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L2_20250921-155445_25,ltiClass_class_L2_20250921-155445_25,fmuD-4hqU,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240130-090904_54,class_L8_20240130-090904_54,MiFA-N7P4,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L8_20240222-143108_158,class_L8_20240222-143108_158,QomP-3wCy,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250923-102342_13,ltiClass_class_L2_20250923-102342_13,iEiE-6i6R,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H4_20231229-183345_86,class_H4_20231229-183345_86,nf8T-R29D,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L8_20240118-160029_66,class_L8_20240118-160029_66,X38L-7pd7,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M3_20250921-192554_12,ltiClass_class_M3_20250921-192554_12,4ktf-ZrKx,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L9_20240128-130831_65,class_L9_20240128-130831_65,2kdy-C6WM,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240128-142311_47,class_L7_20240128-142311_47,aRJ4-djmc,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H4_20240222-143108_97,class_H4_20240222-143108_97,4W6L-tVA6,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L8_20240118-160029_89,class_L8_20240118-160029_89,8EXN-ab8F,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M2_20240128-195807_73,class_M2_20240128-195807_73,TMx6-cjzX,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_L2_20250921-155445_7,ltiClass_class_L2_20250921-155445_7,6rAq-Y74G,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L1_20240222-143108_1,class_L1_20240222-143108_1,bpMv-J6bc,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H7_20250922-182234_9,ltiClass_class_H7_20250922-182234_9,982C-q9pa,H7,h7pe,H,150,A_High,High_Cursor,LTI
tch_L3_20240128-220541_30,class_L3_20240128-220541_30,PNnt-x3im,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L3_20240128-195807_33,class_L3_20240128-195807_33,YqxN-Vahd,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240222-110512_43,class_L7_20240222-110512_43,MVjT-R8vB,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240128-195807_13,class_L1_20240128-195807_13,AFUh-9VKe,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L3_20240128-142311_32,class_L3_20240128-142311_32,UE4t-TJKc,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_M5_20240124-195937_84,class_M5_20240124-195937_84,JYVW-3xzJ,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L2_20250921-214456_10,ltiClass_class_L2_20250921-214456_10,i4B8-Vzq4,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L9_20240128-180332_59,class_L9_20240128-180332_59,VsV4-2bzg,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L1_20240128-130831_5,class_L1_20240128-130831_5,crfa-bJv9,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L9_20240128-170457_61,class_L9_20240128-170457_61,9cga-cXVH,L9,l9pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240128-190832_47,class_L7_20240128-190832_47,2Eo6-dgMd,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L9_20240128-190832_68,class_L9_20240128-190832_68,prG2-wLnh,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L1_20240128-170457_3,class_L1_20240128-170457_3,2sbv-P4gY,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H3_20231229-183345_82,class_H3_20231229-183345_82,nf47-GFG8,H3,h3pe,H,26,A_High,No_Cursor,normal
tch_L1_20240222-110512_115,class_L1_20240222-110512_115,B8pg-W727,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240128-130831_36,class_L7_20240128-130831_36,3RCZ-unV2,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L9_20240128-130831_67,class_L9_20240128-130831_67,Bie8-a2U6,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L2_20250919-180459_12,ltiClass_class_L2_20250919-180459_12,Fi6m-8Dug,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250921-205619_8,ltiClass_class_L2_20250921-205619_8,2RFa-6Hpc,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_H4_20231229-151113_86,class_H4_20231229-151113_86,36Wm-t4im,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_M5_20240111-185155_49,class_M5_20240111-185155_49,23WK-26jL,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L9_20240228-113644_161,class_L9_20240228-113644_161,y8h9-oLi2,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240228-113644_140,class_L7_20240228-113644_140,CQsp-Y4Uj,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M3_20250923-102342_25,ltiClass_class_M3_20250923-102342_25,ur2a-c6bE,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L9_20240222-143108_168,class_L9_20240222-143108_168,28hm-k4t6,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L9_20240222-172411_162,class_L9_20240222-172411_162,FUuR-U2kf,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_M1_20240128-170457_69,class_M1_20240128-170457_69,43cn-r8b4,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L1_20240222-110512_107,class_L1_20240222-110512_107,d2Fd-k3Gn,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H4_20231229-183345_86,class_H4_20231229-183345_86,nf8T-R29D,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_M3_20250919-180459_49,ltiClass_class_M3_20250919-180459_49,3fD7-wv43,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_M3_20250919-180459_38,ltiClass_class_M3_20250919-180459_38,JhBv-dks3,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L2_20250919-180459_23,ltiClass_class_L2_20250919-180459_23,Z3C2-d2YH,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M2_20240128-170457_73,class_M2_20240128-170457_73,H3m9-xqeN,M2,m2pe,M,14,A_Med,No_Cursor,normal
tch_H1_20240222-110512_87,class_H1_20240222-110512_87,Tpx3-ibc9,H1,h1pe,H,26,A_High,No_Cursor,normal
tch_M5_20240222-172411_183,class_M5_20240222-172411_183,7R29-H67K,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L7_20240222-110512_135,class_L7_20240222-110512_135,L6KL-nBWY,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240222-143108_14,class_L1_20240222-143108_14,jobf-y7MB,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240222-143108_134,class_L7_20240222-143108_134,hgZV-Qxa8,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M5_20240124-195937_82,class_M5_20240124-195937_82,rNtB-6Ac9,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_H4_20240124-195937_97,class_H4_20240124-195937_97,Ybd3-XG2v,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L3_20240128-142311_30,class_L3_20240128-142311_30,n4e2-wawM,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240128-195807_35,class_L7_20240128-195807_35,bPCh-wQEM,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240103-170558_4,class_L1_20240103-170558_4,4YB3-C4Wx,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240128-205614_34,class_L7_20240128-205614_34,83nX-nuLj,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240222-110512_109,class_L1_20240222-110512_109,tXM4-9AMA,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L1_20240103-170558_5,class_L1_20240103-170558_5,DwGa-4w32,L1,l1pe,L,5,A_Low,No_Cursor,normal
tch_L8_20240128-130831_55,class_L8_20240128-130831_55,26jH-4G9X,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250921-155445_4,ltiClass_class_L2_20250921-155445_4,odUn-Y4by,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240128-220541_54,class_L8_20240128-220541_54,d3GB-2zG7,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H4_20231229-163209_90,class_H4_20231229-163209_90,sdRa-7WF7,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L1_20240228-113644_5,class_L1_20240228-113644_5,3e67-YTtY,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_M3_20250921-205619_19,ltiClass_class_M3_20250921-205619_19,A7cH-GYcN,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L7_20240222-172411_139,class_L7_20240222-172411_139,d67K-av76,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L8_20240222-172411_149,class_L8_20240222-172411_149,Y7vo-4a8Q,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L3_20240128-195807_32,class_L3_20240128-195807_32,ChtD-XMgd,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L8_20240222-143108_53,class_L8_20240222-143108_53,rs8X-oVhk,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240119-103128_8,class_L7_20240119-103128_8,Jsbk-2zv4,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M4_20240128-130831_80,class_M4_20240128-130831_80,ciF3-H6TJ,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_M4_20240128-205614_79,class_M4_20240128-205614_79,2d8G-DBiJ,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L9_20240222-110512_164,class_L9_20240222-110512_164,Nzsj-2pno,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L3_20240102-154640_21,class_L3_20240102-154640_21,4F2P-49gB,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L2_20250921-155445_19,ltiClass_class_L2_20250921-155445_19,fPtq-64ox,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M1_20240222-110512_169,class_M1_20240222-110512_169,wCy2-N4ek,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L8_20240128-170457_49,class_L8_20240128-170457_49,iWCD-nZx9,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H4_20240128-142311_97,class_H4_20240128-142311_97,tqXa-76er,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L9_20240128-205614_59,class_L9_20240128-205614_59,GbY9-fhe6,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L3_20240222-172411_30,class_L3_20240222-172411_30,hvjd-sqeU,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_H4_20240128-180332_97,class_H4_20240128-180332_97,6aU8-D3AY,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_M3_20250921-192554_15,ltiClass_class_M3_20250921-192554_15,B2yv-2bA8,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L8_20240222-110512_49,class_L8_20240222-110512_49,RrWN-YfHQ,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M4_20240128-142311_79,class_M4_20240128-142311_79,zfcz-nVMA,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L1_20240128-130831_14,class_L1_20240128-130831_14,24Q3-yoY9,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L2_20250919-180459_11,ltiClass_class_L2_20250919-180459_11,78au-jcJ9,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L3_20240128-180332_29,class_L3_20240128-180332_29,kNwZ-EMBA,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240104-171321_3,class_L1_20240104-171321_3,FHWr-v493,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L2_20250919-180459_43,ltiClass_class_L2_20250919-180459_43,9NsP-QE8j,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M5_20240128-130831_84,class_M5_20240128-130831_84,7i42-nqCg,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_M2_20240305-102910_72,class_M2_20240305-102910_72,pQro-9g9z,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_L1_20231229-183345_3,class_L1_20231229-183345_3,6f2h-9qhD,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H7_20250922-114039_9,ltiClass_class_H7_20250922-114039_9,sjVo-bitW,H7,h7pe,H,150,A_High,High_Cursor,LTI
tch_L2_20250921-192554_3,ltiClass_class_L2_20250921-192554_3,7w39-7L67,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M3_20250919-180459_19,ltiClass_class_M3_20250919-180459_19,7fhz-aV2U,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L7_20240128-142311_37,class_L7_20240128-142311_37,sR8o-A4Ws,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L7_20240130-090904_47,class_L7_20240130-090904_47,cBa2-nsw7,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L2_20250921-214456_3,ltiClass_class_L2_20250921-214456_3,698W-3jNb,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L1_20240128-205614_14,class_L1_20240128-205614_14,Ciox-2jzd,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H4_20231229-163209_89,class_H4_20231229-163209_89,hsGT-fQiP,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L8_20240228-113644_57,class_L8_20240228-113644_57,34kQ-8R7K,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L3_20240130-090904_29,class_L3_20240130-090904_29,D7yG-4zou,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240128-142311_39,class_L7_20240128-142311_39,v4G7-d8r8,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L8_20240222-172411_54,class_L8_20240222-172411_54,h39g-jpZP,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L1_20240128-180332_14,class_L1_20240128-180332_14,F62f-4w63,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_H7_20250922-163327_6,ltiClass_class_H7_20250922-163327_6,v2ec-bj7T,H7,h7pe,H,150,A_High,High_Cursor,LTI
tch_M3_20250923-102342_29,ltiClass_class_M3_20250923-102342_29,x89q-2RE9,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L3_20231229-151113_24,class_L3_20231229-151113_24,W7Lq-TgKc,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240128-142311_41,class_L7_20240128-142311_41,cALi-FLMj,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M4_20240222-110512_179,class_M4_20240222-110512_179,6hzM-2dBu,M4,m4pe,M,26,A_Med,No_Cursor,normal
tch_L2_20250919-180459_5,ltiClass_class_L2_20250919-180459_5,4QjU-6468,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L2_20250921-155445_6,ltiClass_class_L2_20250921-155445_6,b437-F2hD,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M1_20240305-102910_69,class_M1_20240305-102910_69,oJe7-wbEc,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_H4_20231229-163209_89,class_H4_20231229-163209_89,hsGT-fQiP,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L2_20250921-192554_4,ltiClass_class_L2_20250921-192554_4,V7ko-jw4H,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L8_20240128-170457_52,class_L8_20240128-170457_52,EMbr-qd43,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_L3_20240222-143108_33,class_L3_20240222-143108_33,HvBn-dm7D,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_L7_20240128-142311_42,class_L7_20240128-142311_42,fa8t-2roQ,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L1_20240128-170457_1,class_L1_20240128-170457_1,p87n-F3r8,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L7_20240128-220541_38,class_L7_20240128-220541_38,3GAb-8WKM,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_M1_20240128-195807_69,class_M1_20240128-195807_69,race-veDd,M1,m1pe,M,15,A_Med,No_Cursor,normal
tch_L2_20250921-155445_23,ltiClass_class_L2_20250921-155445_23,AdN9-QHPh,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_M3_20250921-155445_35,ltiClass_class_M3_20250921-155445_35,3RsT-m2PR,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_M5_20240128-170457_81,class_M5_20240128-170457_81,JVGX-gvd8,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_L2_20250923-102342_13,ltiClass_class_L2_20250923-102342_13,iEiE-6i6R,L2,l2pe,L,6,A_Low,No_Cursor,LTI
tch_L9_20240130-090904_59,class_L9_20240130-090904_59,6H3t-cTQ3,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240124-195937_34,class_L7_20240124-195937_34,3Joc-i4rg,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_L8_20240128-180332_55,class_L8_20240128-180332_55,DeLk-i6PE,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_M2_20240128-180332_72,class_M2_20240128-180332_72,8kPC-t2P8,M2,m2pe,M,15,A_Med,No_Cursor,normal
tch_L3_20240222-143108_133,class_L3_20240222-143108_133,2iPk-TQrp,L3,l3pe,L,9,A_Low,No_Cursor,normal
tch_M3_20250921-214456_15,ltiClass_class_M3_20250921-214456_15,8tDi-K68f,M3,m3pe,M,17,A_Med,No_Cursor,LTI
tch_L1_20240128-130831_1,class_L1_20240128-130831_1,2WD8-9r47,L1,l1pe,L,6,A_Low,No_Cursor,normal
tch_L9_20240128-190832_66,class_L9_20240128-190832_66,sJoJ-PKt3,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L7_20240119-103128_5,class_L7_20240119-103128_5,ErVk-tiJB,L7,l7pe,L,11,A_Low,No_Cursor,normal
tch_H4_20240222-143108_197,class_H4_20240222-143108_197,XYQ9-X8yU,H4,h4pe,H,198,A_High,High_Cursor,normal
tch_L9_20240222-110512_67,class_L9_20240222-110512_67,ahb9-2q29,L9,l9pe,L,10,A_Low,No_Cursor,normal
tch_L8_20240128-130831_56,class_L8_20240128-130831_56,xH8Q-8kYq,L8,l8pe,L,9,A_Low,No_Cursor,normal
tch_H2_20240222-143108_190,class_H2_20240222-143108_190,P972-x3su,H2,h2pe,H,32,A_High,No_Cursor,normal
tch_M5_20240222-172411_84,class_M5_20240222-172411_84,6V2q-ngWJ,M5,m5pe,M,17,A_Med,No_Cursor,normal
tch_H7_20250922-213421_10,ltiClass_class_H7_20250922-213421_10,7y8e-8384,H7,h7pe,H,150,A_High,High_Cursor,LTI
tch_H1_20231229-183345_72,class_H1_20231229-183345_72,MC7J-Y67F,H1,h1pe,H,26,A_High,No_Cursor,normal
