tchextid,repeatcount,page
Perf_teacher_20210323-201137_69,1,15
Perf_teacher_20210323-201137_70,1,15
Perf_teacher_20210323-201137_71,1,15
Perf_teacher_20210323-201137_72,1,15
Perf_teacher_20210323-201137_73,1,15
Perf_teacher_20210323-201137_74,1,15
Perf_teacher_20210323-201137_75,1,15
Perf_teacher_20210323-201137_76,1,15
Perf_teacher_20210323-201137_77,1,15
Perf_teacher_20210323-201137_78,1,15
Perf_teacher_20210323-201137_79,1,15
Perf_teacher_20210323-201137_81,1,15
Perf_teacher_20210323-201137_80,1,15
Perf_teacher_20210323-201137_82,1,15
Perf_teacher_20210323-201137_83,1,15
Perf_teacher_20210323-201137_84,1,15
Perf_teacher_20210323-201137_85,1,15
Perf_teacher_20210323-201137_86,1,15
Perf_teacher_20210323-201137_87,1,15
Perf_teacher_20210323-201137_88,1,15
Perf_teacher_20210323-201137_89,1,15
Perf_teacher_20210323-201137_90,1,15
Perf_teacher_20210323-201137_91,1,15
Perf_teacher_20210323-201137_92,1,15
Perf_teacher_20210323-201137_93,1,15
Perf_teacher_20210323-201137_94,1,15
Perf_teacher_20210323-201137_95,1,15
Perf_teacher_20210323-201137_97,1,15
Perf_teacher_20210323-201137_96,1,15
Perf_teacher_20210323-201137_98,1,15
Perf_teacher_20210323-201137_100,1,15
Perf_teacher_20210323-201137_99,1,15
Perf_teacher_20210323-201137_101,1,15
Perf_teacher_20210323-201137_102,1,15
Perf_teacher_20210323-201137_103,1,15
Perf_teacher_20210323-201137_104,1,15
Perf_teacher_20210323-201137_105,1,15
Perf_teacher_20210323-201137_106,1,15
Perf_teacher_20210323-201137_107,1,15
Perf_teacher_20210323-201137_108,1,15
Perf_teacher_20210323-201137_110,1,15
Perf_teacher_20210323-201137_109,1,15
Perf_teacher_20210323-201137_111,1,15
Perf_teacher_20210323-201137_112,1,15
Perf_teacher_20210323-201137_113,1,15
Perf_teacher_20210323-201137_115,1,15
Perf_teacher_20210323-201137_114,1,15
Perf_teacher_20210323-201137_116,1,15
Perf_teacher_20210323-201137_118,1,15
Perf_teacher_20210323-201137_117,1,15
Perf_teacher_20210323-201137_119,1,15
Perf_teacher_20210323-201137_120,1,15
Perf_teacher_20210323-201137_121,1,15
Perf_teacher_20210323-201137_122,1,15
Perf_teacher_20210323-201137_123,1,15
Perf_teacher_20210323-201137_124,1,15
Perf_teacher_20210323-201137_125,1,15
Perf_teacher_20210323-201137_126,1,15
Perf_teacher_20210323-201137_127,1,15
Perf_teacher_20210323-201137_129,1,15
Perf_teacher_20210323-201137_128,1,15
Perf_teacher_20210323-201137_130,1,15
Perf_teacher_20210323-201137_131,1,15
Perf_teacher_20210323-201137_132,1,15
Perf_teacher_20210323-201137_133,1,15
Perf_teacher_20210323-201137_134,1,15
Perf_teacher_20210323-201137_135,1,15
Perf_teacher_20210323-201137_136,1,15
Perf_teacher_20210323-201137_137,1,15
Perf_teacher_20210323-201137_138,1,15
Perf_teacher_20210323-201137_139,1,15
Perf_teacher_20210323-201137_140,1,15
Perf_teacher_20210323-201137_141,1,15
Perf_teacher_20210323-201137_142,1,15
Perf_teacher_20210323-201137_143,1,15
Perf_teacher_20210323-201137_144,1,15
Perf_teacher_20210323-201137_145,1,15
Perf_teacher_20210323-201137_146,1,15
Perf_teacher_20210323-201137_147,1,15
Perf_teacher_20210323-201137_149,1,15
Perf_teacher_20210323-201137_148,1,15
Perf_teacher_20210323-201137_150,1,15
Perf_teacher_20210323-201137_151,1,15
Perf_teacher_20210323-201137_152,1,15
Perf_teacher_20210323-201137_153,1,15
Perf_teacher_20210323-201137_154,1,15
Perf_teacher_20210323-201137_155,1,15
Perf_teacher_20210323-201137_156,1,15
Perf_teacher_20210323-201137_157,1,15
Perf_teacher_20210323-201137_158,1,15
Perf_teacher_20210323-201137_159,1,15
Perf_teacher_20210323-201137_160,1,15
Perf_teacher_20210323-201137_161,1,15
Perf_teacher_20210323-201137_162,1,15
Perf_teacher_20210323-201137_164,1,15
Perf_teacher_20210323-201137_163,1,15
Perf_teacher_20210323-201137_165,1,15
Perf_teacher_20210323-201137_166,1,15
Perf_teacher_20210323-201137_167,1,15
Perf_teacher_20210323-201137_168,1,15
Perf_teacher_20210323-201137_169,1,15
Perf_teacher_20210323-201137_170,1,15
Perf_teacher_20210323-201137_172,1,15
Perf_teacher_20210323-201137_171,1,15
Perf_teacher_20210323-201137_173,1,15
Perf_teacher_20210323-201137_174,1,15
Perf_teacher_20210323-201137_175,1,15
Perf_teacher_20210323-201137_176,1,15
Perf_teacher_20210323-201137_177,1,15
Perf_teacher_20210323-201137_178,1,15
Perf_teacher_20210323-201137_179,1,15
Perf_teacher_20210323-201137_180,1,15
Perf_teacher_20210323-201137_181,1,15
Perf_teacher_20210323-201137_182,1,15
Perf_teacher_20210323-201137_183,1,15
Perf_teacher_20210323-201137_184,1,15
Perf_teacher_20210323-201137_186,1,15
Perf_teacher_20210323-201137_185,1,15
Perf_teacher_20210323-201137_187,1,15
Perf_teacher_20210323-201137_188,1,15
Perf_teacher_20210323-201137_189,1,15
Perf_teacher_20210323-201137_190,1,15
Perf_teacher_20210323-201137_191,1,15
Perf_teacher_20210323-201137_192,1,15
Perf_teacher_20210323-201137_193,1,15
Perf_teacher_20210323-201137_195,1,15
Perf_teacher_20210323-201137_194,1,15
Perf_teacher_20210323-201137_196,1,15
Perf_teacher_20210323-201137_197,1,15
Perf_teacher_20210323-201137_198,1,15
Perf_teacher_20210323-201137_199,1,15
Perf_teacher_20210323-201137_200,1,15
tch_20210323-231208_1,1,15
tch_20210323-231208_2,1,15
tch_20210323-231208_3,1,15
tch_20210323-231208_5,1,15
tch_20210323-231208_4,1,15
tch_20210323-231208_6,1,15
tch_20210323-231208_8,1,15
tch_20210323-231208_7,1,15
tch_20210323-231208_9,1,15
tch_20210323-231208_10,1,15
tch_20210323-231208_11,1,15
tch_20210323-231208_12,1,15
tch_20210323-231208_13,1,15
tch_20210323-231208_14,1,15
tch_20210323-231208_15,1,15
tch_20210323-231208_16,1,15
tch_20210323-231208_17,1,15
tch_20210323-231208_18,1,15
tch_20210323-231208_19,1,15
tch_20210323-231208_21,1,15
tch_20210323-231208_20,1,15
tch_20210323-231208_22,1,15
tch_20210323-231208_23,1,15
tch_20210323-231208_24,1,15
tch_20210323-231208_25,1,15
tch_20210323-231208_26,1,15
tch_20210323-231208_27,1,15
tch_20210323-231208_28,1,15
tch_20210323-231208_29,1,15
tch_20210323-231208_31,1,15
tch_20210323-231208_30,1,15
tch_20210323-231208_32,1,15
tch_20210323-231208_33,1,15
tch_20210323-231208_34,1,15
tch_20210323-231208_35,1,15
tch_20210323-231208_36,1,15
tch_20210323-231208_37,1,15
tch_20210323-231208_38,1,15
tch_20210323-231208_39,1,15
tch_20210323-231208_41,1,15
tch_20210323-231208_40,1,15
tch_20210323-231208_42,1,15
tch_20210323-231208_43,1,15
tch_20210323-231208_44,1,15
tch_20210323-231208_45,1,15
tch_20210323-231208_46,1,15
tch_20210323-231208_47,1,15
tch_20210323-231208_48,1,15
tch_20210323-231208_49,1,15
tch_20210323-231208_50,1,15
tch_20210323-231208_51,1,15
tch_20210323-231208_52,1,15
tch_20210323-231208_53,1,15
tch_20210323-231208_54,1,15
tch_20210323-231208_55,1,15
tch_20210323-231208_56,1,15
tch_20210323-231208_58,1,15
tch_20210323-231208_57,1,15
tch_20210323-231208_59,1,15
tch_20210323-231208_60,1,15
tch_20210323-231208_61,1,15
tch_20210323-231208_62,1,15
tch_20210323-231208_63,1,15
tch_20210323-231208_64,1,15
tch_20210323-231208_65,1,15
tch_20210323-231208_66,1,15
tch_20210323-231208_68,1,15
tch_20210323-231208_67,1,15
tch_20210323-231208_69,1,15
tch_20210323-231208_70,1,15
tch_20210323-231208_71,1,15
tch_20210323-231208_72,1,15
tch_20210323-231208_73,1,15
tch_20210323-231208_74,1,15
tch_20210323-231208_75,1,15
tch_20210323-231208_76,1,15
tch_20210323-231208_77,1,15
tch_20210323-231208_79,1,15
tch_20210323-231208_78,1,15
tch_20210323-231208_81,1,15
tch_20210323-231208_80,1,15
tch_20210323-231208_82,1,15
tch_20210323-231208_84,1,15
tch_20210323-231208_83,1,15
tch_20210323-231208_85,1,15
tch_20210323-231208_86,1,15
tch_20210323-231208_87,1,15
tch_20210323-231208_89,1,15
tch_20210323-231208_88,1,15
tch_20210323-231208_91,1,15
tch_20210323-231208_90,1,15
tch_20210323-231208_92,1,15
tch_20210323-231208_93,1,15
tch_20210323-231208_94,1,15
tch_20210323-231208_95,1,15
tch_20210323-231208_96,1,15
tch_20210323-231208_97,1,15
tch_20210323-231208_98,1,15
tch_20210323-231208_99,1,15
tch_20210323-231208_100,1,15
tch_20210323-231208_101,1,15
tch_20210323-231208_102,1,15
tch_20210323-231208_103,1,15
tch_20210323-231208_104,1,15
tch_20210323-231208_105,1,15
tch_20210323-231208_106,1,15
tch_20210323-231208_108,1,15
tch_20210323-231208_107,1,15
tch_20210323-231208_109,1,15
tch_20210323-231208_110,1,15
tch_20210323-231208_111,1,15
tch_20210323-231208_112,1,15
tch_20210323-231208_113,1,15
tch_20210323-231208_114,1,15
tch_20210323-231208_115,1,15
tch_20210323-231208_116,1,15
tch_20210323-231208_117,1,15
tch_20210323-231208_118,1,15
tch_20210323-231208_119,1,15
tch_20210323-231208_120,1,15
tch_20210323-231208_121,1,15
tch_20210323-231208_122,1,15
tch_20210323-231208_123,1,15
tch_20210323-231208_124,1,15
tch_20210323-231208_125,1,15
tch_20210323-231208_126,1,15
tch_20210323-231208_127,1,15
tch_20210323-231208_128,1,15
tch_20210323-231208_129,1,15
tch_20210323-231208_130,1,15
tch_20210323-231208_131,1,15
tch_20210323-231208_132,1,15
tch_20210323-231208_133,1,15
tch_20210323-231208_134,1,15
tch_20210323-231208_135,1,15
tch_20210323-231208_137,1,15
tch_20210323-231208_136,1,15
tch_20210323-231208_139,1,15
tch_20210323-231208_138,1,15
tch_20210323-231208_140,1,15
tch_20210323-231208_141,1,15
tch_20210323-231208_142,1,15
tch_20210323-231208_143,1,15
tch_20210323-231208_145,1,15
tch_20210323-231208_144,1,15
tch_20210323-231208_146,1,15
tch_20210323-231208_147,1,15
tch_20210323-231208_148,1,15
tch_20210323-231208_149,1,15
tch_20210323-231208_150,1,15
tch_20210323-231208_151,1,15
tch_20210323-231208_152,1,15
tch_20210323-231208_153,1,15
tch_20210323-231208_154,1,15
tch_20210323-231208_155,1,15
tch_20210323-231208_156,1,15
tch_20210323-231208_157,1,15
tch_20210323-231208_158,1,15
tch_20210323-231208_159,1,15
tch_20210323-231208_160,1,15
tch_20210323-231208_161,1,15
tch_20210323-231208_162,1,15
tch_20210323-231208_163,1,15
tch_20210323-231208_164,1,15
tch_20210323-231208_165,1,15
tch_20210323-231208_166,1,15
tch_20210323-231208_167,1,15
tch_20210323-231208_168,1,15
tch_20210323-231208_169,1,15
tch_20210323-231208_170,1,15
tch_20210323-231208_172,1,15
tch_20210323-231208_171,1,15
tch_20210323-231208_173,1,15
tch_20210323-231208_174,1,15
tch_20210323-231208_175,1,15
tch_20210323-231208_176,1,15
tch_20210323-231208_177,1,15
tch_20210323-231208_178,1,15
tch_20210323-231208_179,1,15
tch_20210323-231208_180,1,15
tch_20210323-231208_181,1,15
tch_20210323-231208_183,1,15
tch_20210323-231208_182,1,15
tch_20210323-231208_184,1,15
tch_20210323-231208_185,1,15
tch_20210323-231208_186,1,15
tch_20210323-231208_187,1,15
tch_20210323-231208_188,1,15
tch_20210323-231208_189,1,15
tch_20210323-231208_190,1,15
tch_20210323-231208_192,1,15
tch_20210323-231208_191,1,15
tch_20210323-231208_193,1,15
tch_20210323-231208_195,1,15
tch_20210323-231208_194,1,15
tch_20210323-231208_196,1,15
tch_20210323-231208_197,1,15
tch_20210323-231208_198,1,15
tch_20210323-231208_199,1,15
tch_20210323-231208_200,1,15
Perf_teacher_20210323-204424_1,1,15
Perf_teacher_20210323-204424_2,1,15
Perf_teacher_20210323-204424_3,1,15
Perf_teacher_20210323-204424_4,1,15
Perf_teacher_20210323-204424_5,1,15
Perf_teacher_20210323-204424_6,1,15
Perf_teacher_20210323-204424_8,1,15
Perf_teacher_20210323-204424_7,1,15
Perf_teacher_20210323-204424_9,1,15
Perf_teacher_20210323-204424_10,1,15
Perf_teacher_20210323-204424_11,1,15
Perf_teacher_20210323-204424_12,1,15
Perf_teacher_20210323-204424_13,1,15
Perf_teacher_20210323-204424_14,1,15
Perf_teacher_20210323-204424_15,1,15
Perf_teacher_20210323-204424_16,1,15
Perf_teacher_20210323-204424_17,1,15
Perf_teacher_20210323-204424_18,1,15
Perf_teacher_20210323-204424_19,1,15
Perf_teacher_20210323-204424_20,1,15
Perf_teacher_20210323-204424_21,1,15
Perf_teacher_20210323-204424_22,1,15
Perf_teacher_20210323-204424_23,1,15
Perf_teacher_20210323-204424_24,1,15
Perf_teacher_20210323-204424_25,1,15
Perf_teacher_20210323-204424_26,1,15
Perf_teacher_20210323-204424_27,1,15
Perf_teacher_20210323-204424_28,1,15
Perf_teacher_20210323-204424_29,1,15
Perf_teacher_20210323-204424_30,1,15
Perf_teacher_20210323-204424_31,1,15
Perf_teacher_20210323-204424_32,1,15
Perf_teacher_20210323-204424_33,1,15
Perf_teacher_20210323-204424_34,1,15
Perf_teacher_20210323-204424_35,1,15
Perf_teacher_20210323-204424_36,1,15
Perf_teacher_20210323-204424_37,1,15
Perf_teacher_20210323-204424_38,1,15
Perf_teacher_20210323-204424_39,1,15
Perf_teacher_20210323-204424_40,1,15
Perf_teacher_20210323-204424_41,1,15
Perf_teacher_20210323-204424_42,1,15
Perf_teacher_20210323-204424_44,1,15
Perf_teacher_20210323-204424_43,1,15
Perf_teacher_20210323-204424_45,1,15
Perf_teacher_20210323-204424_47,1,15
Perf_teacher_20210323-204424_46,1,15
Perf_teacher_20210323-204424_48,1,15
Perf_teacher_20210323-204424_49,1,15
Perf_teacher_20210323-204424_50,1,15
Perf_teacher_20210323-204424_52,1,15
Perf_teacher_20210323-204424_51,1,15
Perf_teacher_20210323-204424_54,1,15
Perf_teacher_20210323-204424_53,1,15
Perf_teacher_20210323-204424_55,1,15
Perf_teacher_20210323-204424_57,1,15
Perf_teacher_20210323-204424_56,1,15
Perf_teacher_20210323-204424_58,1,15
Perf_teacher_20210323-204424_59,1,15
Perf_teacher_20210323-204424_61,1,15
Perf_teacher_20210323-204424_60,1,15
Perf_teacher_20210323-204424_62,1,15
Perf_teacher_20210323-204424_63,1,15
Perf_teacher_20210323-204424_64,1,15
Perf_teacher_20210323-204424_65,1,15
Perf_teacher_20210323-204424_66,1,15
Perf_teacher_20210323-204424_67,1,15
Perf_teacher_20210323-204424_68,1,15
Perf_teacher_20210323-204424_69,1,15
Perf_teacher_20210323-204424_71,1,15
Perf_teacher_20210323-204424_70,1,15
Perf_teacher_20210323-204424_72,1,15
Perf_teacher_20210323-204424_73,1,15
Perf_teacher_20210323-204424_74,1,15
Perf_teacher_20210323-204424_75,1,15
Perf_teacher_20210323-204424_76,1,15
Perf_teacher_20210323-204424_78,1,15
Perf_teacher_20210323-204424_77,1,15
Perf_teacher_20210323-204424_79,1,15
Perf_teacher_20210323-204424_80,1,15
Perf_teacher_20210323-204424_81,1,15
Perf_teacher_20210323-204424_82,1,15
Perf_teacher_20210323-204424_83,1,15
Perf_teacher_20210323-204424_84,1,15
Perf_teacher_20210323-204424_85,1,15
Perf_teacher_20210323-204424_87,1,15
Perf_teacher_20210323-204424_86,1,15
Perf_teacher_20210323-204424_89,1,15
Perf_teacher_20210323-204424_88,1,15
Perf_teacher_20210323-204424_90,1,15
Perf_teacher_20210323-204424_92,1,15
Perf_teacher_20210323-204424_91,1,15
Perf_teacher_20210323-204424_93,1,15
Perf_teacher_20210323-204424_94,1,15
Perf_teacher_20210323-204424_95,1,15
Perf_teacher_20210323-204424_96,1,15
Perf_teacher_20210323-204424_97,1,15
Perf_teacher_20210323-204424_98,1,15
Perf_teacher_20210323-204424_99,1,15
Perf_teacher_20210323-204424_100,1,15
Perf_teacher_20210323-204424_101,1,15
Perf_teacher_20210323-204424_103,1,15
Perf_teacher_20210323-204424_102,1,15
Perf_teacher_20210323-204424_104,1,15
Perf_teacher_20210323-204424_105,1,15
Perf_teacher_20210323-204424_107,1,15
Perf_teacher_20210323-204424_106,1,15
Perf_teacher_20210323-204424_108,1,15
Perf_teacher_20210323-204424_109,1,15
Perf_teacher_20210323-204424_110,1,15
Perf_teacher_20210323-204424_111,1,15
Perf_teacher_20210323-204424_112,1,15
Perf_teacher_20210323-204424_113,1,15
Perf_teacher_20210323-204424_114,1,15
Perf_teacher_20210323-204424_115,1,15
Perf_teacher_20210323-204424_116,1,15
Perf_teacher_20210323-204424_117,1,15
Perf_teacher_20210323-204424_118,1,15
Perf_teacher_20210323-204424_119,1,15
Perf_teacher_20210323-204424_120,1,15
Perf_teacher_20210323-204424_121,1,15
Perf_teacher_20210323-204424_122,1,15
Perf_teacher_20210323-204424_123,1,15
Perf_teacher_20210323-204424_124,1,15
Perf_teacher_20210323-204424_125,1,15
Perf_teacher1015_20210329-150949_1,1,15
Perf_teacher1015_20210329-150949_2,1,15
Perf_teacher1015_20210329-150949_3,1,15
Perf_teacher1015_20210329-150949_5,1,15
Perf_teacher1015_20210329-150949_6,1,15
Perf_teacher1015_20210329-150949_4,1,15
Perf_teacher1015_20210329-150949_7,1,15
Perf_teacher1015_20210329-150949_9,1,15
Perf_teacher1015_20210329-150949_8,1,15
Perf_teacher1015_20210329-150949_11,1,15
Perf_teacher1015_20210329-150949_10,1,15
Perf_teacher1015_20210329-150949_12,1,15
Perf_teacher1015_20210329-150949_13,1,15
Perf_teacher1015_20210329-150949_16,1,15
Perf_teacher1015_20210329-150949_14,1,15
Perf_teacher1015_20210329-150949_15,1,15
Perf_teacher1015_20210329-150949_19,1,15
Perf_teacher1015_20210329-150949_18,1,15
Perf_teacher1015_20210329-150949_17,1,15
Perf_teacher1015_20210329-150949_20,1,15
Perf_teacher1015_20210329-150949_22,1,15
Perf_teacher1015_20210329-150949_23,1,15
Perf_teacher1015_20210329-150949_21,1,15
Perf_teacher1015_20210329-150949_24,1,15
Perf_teacher1015_20210329-150949_26,1,15
Perf_teacher1015_20210329-150949_25,1,15
Perf_teacher1015_20210329-150949_27,1,15
Perf_teacher1015_20210329-150949_28,1,15
Perf_teacher1015_20210329-150949_30,1,15
Perf_teacher1015_20210329-150949_29,1,15
Perf_teacher1015_20210329-150949_32,1,15
Perf_teacher1015_20210329-150949_31,1,15
Perf_teacher1015_20210329-150949_34,1,15
Perf_teacher1015_20210329-150949_33,1,15
Perf_teacher1015_20210329-150949_36,1,15
Perf_teacher1015_20210329-150949_35,1,15
Perf_teacher1015_20210329-150949_37,1,15
Perf_teacher1015_20210329-150949_38,1,15
Perf_teacher1015_20210329-150949_39,1,15
Perf_teacher1015_20210329-150949_42,1,15
Perf_teacher1015_20210329-150949_40,1,15
Perf_teacher1015_20210329-150949_43,1,15
Perf_teacher1015_20210329-150949_41,1,15
Perf_teacher1015_20210329-150949_44,1,15
Perf_teacher1015_20210329-150949_46,1,15
Perf_teacher1015_20210329-150949_45,1,15
Perf_teacher1015_20210329-150949_48,1,15
Perf_teacher1015_20210329-150949_47,1,15
Perf_teacher1015_20210329-150949_49,1,15
Perf_teacher1015_20210329-150949_51,1,15
Perf_teacher1015_20210329-150949_50,1,15
Perf_teacher1015_20210329-150949_53,1,15
Perf_teacher1015_20210329-150949_55,1,15
Perf_teacher1015_20210329-150949_52,1,15
Perf_teacher1015_20210329-150949_54,1,15
Perf_teacher1015_20210329-150949_56,1,15
Perf_teacher1015_20210329-150949_59,1,15
Perf_teacher1015_20210329-150949_57,1,15
Perf_teacher1015_20210329-150949_58,1,15
Perf_teacher1015_20210329-150949_61,1,15
Perf_teacher1015_20210329-150949_60,1,15
Perf_teacher1015_20210329-150949_62,1,15
Perf_teacher1015_20210329-150949_64,1,15
Perf_teacher1015_20210329-150949_63,1,15
Perf_teacher1015_20210329-150949_66,1,15
Perf_teacher1015_20210329-150949_65,1,15
Perf_teacher1015_20210329-150949_68,1,15
Perf_teacher1015_20210329-150949_67,1,15
Perf_teacher1015_20210329-150949_69,1,15
Perf_teacher1015_20210329-150949_71,1,15
Perf_teacher1015_20210329-150949_70,1,15
Perf_teacher1015_20210329-150949_72,1,15
Perf_teacher1015_20210329-150949_74,1,15
Perf_teacher1015_20210329-150949_73,1,15
Perf_teacher1015_20210329-150949_75,1,15
Perf_teacher1015_20210329-150949_77,1,15
Perf_teacher1015_20210329-150949_76,1,15
Perf_teacher1015_20210329-150949_78,1,15
Perf_teacher1015_20210329-150949_80,1,15
Perf_teacher1015_20210329-150949_79,1,15
Perf_teacher1015_20210329-150949_81,1,15
Perf_teacher1015_20210329-150949_83,1,15
Perf_teacher1015_20210329-150949_82,1,15
Perf_teacher1015_20210329-150949_84,1,15
Perf_teacher1015_20210329-150949_85,1,15
Perf_teacher1015_20210329-150949_87,1,15
Perf_teacher1015_20210329-150949_86,1,15
Perf_teacher1015_20210329-150949_88,1,15
Perf_teacher1015_20210329-150949_89,1,15
Perf_teacher1015_20210329-150949_90,1,15
Perf_teacher1015_20210329-150949_92,1,15
Perf_teacher1015_20210329-150949_93,1,15
Perf_teacher1015_20210329-150949_91,1,15
Perf_teacher1015_20210329-150949_94,1,15
Perf_teacher1015_20210329-150949_96,1,15
Perf_teacher1015_20210329-150949_95,1,15
Perf_teacher1015_20210329-150949_97,1,15
Perf_teacher1015_20210329-150949_98,1,15
Perf_teacher1015_20210329-150949_99,1,15
Perf_teacher1015_20210329-150949_103,1,15
Perf_teacher1015_20210329-150949_100,1,15
Perf_teacher1015_20210329-150949_101,1,15
Perf_teacher1015_20210329-150949_102,1,15
Perf_teacher1015_20210329-150949_104,1,15
Perf_teacher1015_20210329-150949_106,1,15
Perf_teacher1015_20210329-150949_105,1,15
Perf_teacher1015_20210329-150949_107,1,15
Perf_teacher1015_20210329-150949_110,1,15
Perf_teacher1015_20210329-150949_108,1,15
Perf_teacher1015_20210329-150949_111,1,15
Perf_teacher1015_20210329-150949_109,1,15
Perf_teacher1015_20210329-150949_112,1,15
Perf_teacher1015_20210329-150949_113,1,15
Perf_teacher1015_20210329-150949_115,1,15
Perf_teacher1015_20210329-150949_114,1,15
Perf_teacher1015_20210329-150949_116,1,15
Perf_teacher1015_20210329-150949_117,1,15
Perf_teacher1015_20210329-150949_118,1,15
Perf_teacher1015_20210329-150949_119,1,15
Perf_teacher1015_20210329-150949_120,1,15
Perf_teacher1015_20210329-150949_122,1,15
Perf_teacher1015_20210329-150949_121,1,15
